0,0,None,None,None,None,None,None,None,None,None,None
1,None,None,None,None,None,None,None,None,None,None,None
2,None,None,None,None,None,None,None,None,None,None,None
3,None,3,None,None,None,None,None,None,None,None,None
4,None,4,None,None,None,None,None,None,None,None,None
5,None,8,None,None,None,None,None,None,None,None,None
6,None,14,None,None,None,None,None,None,None,None,None
7,12,None,3,None,None,None,None,None,None,None,None
8,None,15,None,None,None,None,None,None,None,None,None
9,None,None,None,None,None,None,None,None,None,None,None
10,None,16,None,None,None,None,None,None,None,None,None
11,None,17,None,None,None,None,None,None,None,None,None
12,15,None,None,None,None,None,None,None,None,None,None
13,None,None,None,None,None,None,None,None,None,None,None
14,None,1,None,None,None,None,None,None,None,None,None
15,None,None,None,None,None,None,None,None,None,None,None
16,2,None,None,None,None,None,None,None,None,None,None
17,3,None,None,None,None,None,None,None,None,None,None
18,4,None,None,None,None,None,None,None,None,None,None
19,None,None,5,None,None,None,None,None,None,None,None
20,None,5,None,None,None,None,None,None,None,None,None
21,8,None,None,None,None,None,None,None,None,None,None
22,None,10,None,None,None,None,None,None,None,None,None
23,None,11,None,None,None,None,None,None,None,None,None
24,None,12,None,None,None,None,None,None,None,None,None
25,None,13,None,None,None,None,None,None,None,None,None
26,16,None,None,None,None,None,None,None,None,None,None
27,17,None,None,None,None,None,None,None,None,None,None
28,10,None,None,None,None,None,None,None,None,None,None
29,None,None,None,None,None,None,None,None,None,None,None
30,5,None,0,None,None,None,None,None,None,None,None
31,None,7,None,None,None,None,None,None,None,None,None
32,6,None,None,None,None,None,None,None,None,None,None
33,None,2,None,None,None,None,None,None,None,None,None
34,11,None,4,None,None,None,None,None,None,None,None
35,None,0,None,None,None,None,None,None,None,None,None
36,1,None,None,None,None,None,None,None,None,None,None
37,None,9,None,17,17,17,17,17,17,17,17
38,None,6,None,None,None,None,None,None,None,None,None
39,7,None,None,None,None,None,None,None,None,None,None
None,9,None,None,None,None,None,None,None,None,None,None
None,13,None,None,None,None,None,None,None,None,None,None
None,14,None,None,None,None,None,None,None,None,None,None
None,None,None,1,None,None,None,None,None,None,None,None
None,None,None,2,None,None,None,None,None,None,None,None
None,None,None,6,None,None,None,None,None,None,None,None
None,None,None,7,None,None,None,None,None,None,None,None
None,None,None,8,None,None,None,None,None,None,None,None
None,None,None,9,None,None,None,None,None,None,None,None
None,None,None,10,None,None,None,None,None,None,None,None
None,None,None,11,None,None,None,None,None,None,None,None
None,None,None,12,None,None,None,None,None,None,None,None
None,None,None,13,None,None,None,None,None,None,None,None
None,None,None,14,None,None,None,None,None,None,None,None
None,None,None,15,None,None,None,None,None,None,None,None
None,None,None,None,0,0,0,0,0,0,0,0
None,None,None,None,1,1,1,1,1,1,1,1
None,None,None,None,2,2,2,2,2,2,2,2
None,None,None,None,3,3,3,3,3,3,3,3
None,None,None,None,4,4,4,4,4,4,4,4
None,None,None,None,5,5,5,5,5,5,5,5
None,None,None,None,6,6,6,6,6,6,6,6
None,None,None,None,7,7,7,7,7,7,7,7
None,None,None,None,8,8,8,8,8,8,8,8
None,None,None,None,9,9,9,9,9,9,9,9
None,None,None,None,10,10,10,10,10,10,10,10
None,None,None,None,11,11,11,11,11,11,11,11
None,None,None,None,12,12,12,12,12,12,12,12
None,None,None,None,13,13,13,13,13,13,13,13
None,None,None,None,14,14,14,14,14,14,14,14
None,None,None,None,15,15,15,15,15,15,15,15
None,None,None,None,16,16,16,16,16,16,16,16
None,None,None,None,18,18,18,18,18,18,18,18
None,None,None,None,19,19,19,19,19,19,19,19
None,None,None,None,20,20,20,20,20,20,20,20
None,None,None,None,21,21,21,21,21,21,21,21
None,None,None,None,22,22,22,22,22,22,22,22
None,None,None,None,23,23,23,23,23,23,23,23
None,None,None,None,24,24,24,24,24,24,24,24
None,None,None,None,25,25,25,25,25,25,25,25
None,None,None,None,26,26,26,26,26,26,26,26
None,None,None,None,27,27,27,27,27,27,27,27
None,None,None,None,28,28,28,28,28,28,28,28
None,None,None,None,29,29,29,29,29,29,29,29
None,None,None,None,30,30,30,30,30,30,30,30
